group,image_name,image_path,repeat_idx,infer_time_ms,answer,model,revision,prompt,max_tokens,input_size,timing_mode
simple,simple_01.png,./test_images/simple/simple_01.png,1,736.960238,A white line marking the edge of the road.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence.",30,384,legacy_no_cuda_sync
simple,simple_02.png,./test_images/simple/simple_02.png,1,739.237557,A white line marking the edge of the road.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence.",30,384,legacy_no_cuda_sync
simple,simple_03.png,./test_images/simple/simple_03.png,1,738.144833,A white line marking the edge of the road.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence.",30,384,legacy_no_cuda_sync
simple,simple_04.png,./test_images/simple/simple_04.png,1,738.512745,A white line marking the edge of the road.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence.",30,384,legacy_no_cuda_sync
simple,simple_05.png,./test_images/simple/simple_05.png,1,739.557268,A white line marking the edge of the road.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence.",30,384,legacy_no_cuda_sync
complex,complex_01.jpg,./test_images/complex/complex_01.jpg,1,743.880792,A large construction vehicle is blocking the road ahead.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence.",30,384,legacy_no_cuda_sync
complex,complex_02.jpg,./test_images/complex/complex_02.jpg,1,796.232821,"A large, white, tracked vehicle is ahead of me.",vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence.",30,384,legacy_no_cuda_sync
complex,complex_03.jpg,./test_images/complex/complex_03.jpg,1,687.924251,A large truck is pulling a trailer.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence.",30,384,legacy_no_cuda_sync
complex,complex_04.jpg,./test_images/complex/complex_04.jpg,1,713.967109,A large truck is coming up the road.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence.",30,384,legacy_no_cuda_sync
complex,complex_5.jpg,./test_images/complex/complex_5.jpg,1,766.479199,A large construction vehicle is parked on the road ahead.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence.",30,384,legacy_no_cuda_sync
