group,image_name,image_path,repeat_idx,infer_time_ms,answer,model,revision,prompt,max_tokens,input_size,timing_mode
simple,simple_01.png,./test_images/simple/simple_01.png,1,737.578109,A white line marking the edge of the road.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence.",30,384,legacy_no_cuda_sync
simple,simple_02.png,./test_images/simple/simple_02.png,1,734.304808,A white line marking the edge of the road.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence.",30,384,legacy_no_cuda_sync
simple,simple_03.png,./test_images/simple/simple_03.png,1,737.010492,A white line marking the edge of the road.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence.",30,384,legacy_no_cuda_sync
simple,simple_04.png,./test_images/simple/simple_04.png,1,740.564260,A white line marking the edge of the road.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence.",30,384,legacy_no_cuda_sync
simple,simple_05.png,./test_images/simple/simple_05.png,1,734.844471,A white line marking the edge of the road.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence.",30,384,legacy_no_cuda_sync
complex,complex_01.jpg,./test_images/complex/complex_01.jpg,1,737.425011,A large construction vehicle is blocking the road ahead.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence.",30,384,legacy_no_cuda_sync
complex,complex_02.jpg,./test_images/complex/complex_02.jpg,1,794.020113,"A large, white, tracked vehicle is ahead of me.",vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence.",30,384,legacy_no_cuda_sync
complex,complex_03.jpg,./test_images/complex/complex_03.jpg,1,687.534257,A large truck is pulling a trailer.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence.",30,384,legacy_no_cuda_sync
complex,complex_04.jpg,./test_images/complex/complex_04.jpg,1,708.411900,A large truck is coming up the road.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence.",30,384,legacy_no_cuda_sync
complex,complex_5.jpg,./test_images/complex/complex_5.jpg,1,763.663588,A large construction vehicle is parked on the road ahead.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence.",30,384,legacy_no_cuda_sync
