group,image_name,image_path,repeat_idx,infer_time_ms,answer,model,revision,prompt,max_tokens,input_size,timing_mode
simple,simple_01.png,./test_images/simple/simple_01.png,1,607.546035,"Nothing, just the road",vikhyatk/moondream2,2025-01-09,"What objects or obstacles are on the road ahead of the vehicle? Cone? Crosswalk? Obstacle? Or nothing, just the road?",30,384,legacy_no_cuda_sync
simple,simple_02.png,./test_images/simple/simple_02.png,1,611.814767,"Nothing, just the road",vikhyatk/moondream2,2025-01-09,"What objects or obstacles are on the road ahead of the vehicle? Cone? Crosswalk? Obstacle? Or nothing, just the road?",30,384,legacy_no_cuda_sync
simple,simple_03.png,./test_images/simple/simple_03.png,1,613.939901,"Nothing, just the road",vikhyatk/moondream2,2025-01-09,"What objects or obstacles are on the road ahead of the vehicle? Cone? Crosswalk? Obstacle? Or nothing, just the road?",30,384,legacy_no_cuda_sync
simple,simple_04.png,./test_images/simple/simple_04.png,1,611.775333,"Nothing, just the road",vikhyatk/moondream2,2025-01-09,"What objects or obstacles are on the road ahead of the vehicle? Cone? Crosswalk? Obstacle? Or nothing, just the road?",30,384,legacy_no_cuda_sync
simple,simple_05.png,./test_images/simple/simple_05.png,1,610.928742,"Nothing, just the road",vikhyatk/moondream2,2025-01-09,"What objects or obstacles are on the road ahead of the vehicle? Cone? Crosswalk? Obstacle? Or nothing, just the road?",30,384,legacy_no_cuda_sync
complex,complex_01.jpg,./test_images/complex/complex_01.jpg,1,530.779377,Cone,vikhyatk/moondream2,2025-01-09,"What objects or obstacles are on the road ahead of the vehicle? Cone? Crosswalk? Obstacle? Or nothing, just the road?",30,384,legacy_no_cuda_sync
complex,complex_02.jpg,./test_images/complex/complex_02.jpg,1,535.175579,Cone,vikhyatk/moondream2,2025-01-09,"What objects or obstacles are on the road ahead of the vehicle? Cone? Crosswalk? Obstacle? Or nothing, just the road?",30,384,legacy_no_cuda_sync
complex,complex_03.jpg,./test_images/complex/complex_03.jpg,1,535.881475,Cone,vikhyatk/moondream2,2025-01-09,"What objects or obstacles are on the road ahead of the vehicle? Cone? Crosswalk? Obstacle? Or nothing, just the road?",30,384,legacy_no_cuda_sync
complex,complex_04.jpg,./test_images/complex/complex_04.jpg,1,609.375022,"Nothing, just the road",vikhyatk/moondream2,2025-01-09,"What objects or obstacles are on the road ahead of the vehicle? Cone? Crosswalk? Obstacle? Or nothing, just the road?",30,384,legacy_no_cuda_sync
complex,complex_5.jpg,./test_images/complex/complex_5.jpg,1,534.120216,Cone,vikhyatk/moondream2,2025-01-09,"What objects or obstacles are on the road ahead of the vehicle? Cone? Crosswalk? Obstacle? Or nothing, just the road?",30,384,legacy_no_cuda_sync
